        61        12         6        20
   4.50747E-03   4.30429E-03   4.08349E-03   3.91610E-03   2.60660E-03
   2.65250E-03   2.79550E-03   2.98553E-03   3.19050E-03   3.33091E-03
   3.39465E-03   3.32553E-03   3.18306E-03   2.98917E-03   2.79378E-03
   2.64559E-03   1.55958E-03   1.59324E-03   1.69560E-03   1.83214E-03
   1.98928E-03   2.09488E-03   2.14572E-03   2.09049E-03   1.98328E-03
   1.83396E-03   1.69432E-03   1.58870E-03   8.39383E-04   8.59528E-04
   9.12115E-04   9.82075E-04   1.06722E-03   1.12844E-03   1.15923E-03
   1.12457E-03   1.06249E-03   9.82678E-04   9.11140E-04   8.56584E-04
   4.05784E-04   4.15381E-04   4.34459E-04   4.60784E-04   4.92075E-04
   5.18270E-04   5.29663E-04   5.15838E-04   4.89305E-04   4.60878E-04
   4.33924E-04   4.13802E-04   1.75473E-04   1.78335E-04   1.83107E-04
   1.90190E-04   1.99893E-04   2.08557E-04   2.11770E-04   2.07551E-04
   1.98816E-04   1.90186E-04   1.82855E-04   1.77703E-04   6.39554E-05
   6.45958E-05   6.57688E-05   6.75540E-05   6.96719E-05   7.14460E-05
   7.19268E-05   7.11975E-05   6.94138E-05   6.75476E-05   6.57111E-05
   6.44614E-05   1.69057E-05   1.69557E-05   1.71191E-05   1.73594E-05
   1.76259E-05   1.78140E-05   1.78673E-05   1.77926E-05   1.76081E-05
   1.73586E-05   1.71077E-05   1.69457E-05   3.93294E-06   3.93690E-06
   3.95143E-06   3.97586E-06   4.00208E-06   4.02061E-06   4.02523E-06
   4.01961E-06   4.00147E-06   3.97580E-06   3.95017E-06   3.93607E-06
   9.75150E-07   9.75620E-07   9.77214E-07   9.79966E-07   9.82825E-07
   9.84865E-07   9.85356E-07   9.84825E-07   9.82826E-07   9.79962E-07
   9.77078E-07   9.75541E-07   2.75223E-07   2.75297E-07   2.75518E-07
   2.75904E-07   2.76303E-07   2.76600E-07   2.76676E-07   2.76598E-07
   2.76306E-07   2.75904E-07   2.75501E-07   2.75287E-07   8.83854E-08
   8.84009E-08   8.84397E-08   8.85083E-08   8.85787E-08   8.86355E-08
   8.86511E-08   8.86355E-08   8.85794E-08   8.85082E-08   8.84368E-08
   8.83990E-08   3.17846E-08   3.17881E-08   3.17963E-08   3.18117E-08
   3.18274E-08   3.18407E-08   3.18442E-08   3.18407E-08   3.18276E-08
   3.18116E-08   3.17957E-08   3.17877E-08   1.25792E-08   1.25801E-08
   1.25822E-08   1.25863E-08   1.25906E-08   1.25943E-08   1.25952E-08
   1.25943E-08   1.25907E-08   1.25863E-08   1.25820E-08   1.25800E-08
   4.63321E-09   4.63340E-09   4.63386E-09   4.63496E-09   4.63609E-09
   4.63706E-09   4.63725E-09   4.63706E-09   4.63609E-09   4.63495E-09
   4.63383E-09   4.63337E-09   2.58941E-09   2.58948E-09   2.58967E-09
   2.59018E-09   2.59072E-09   2.59118E-09   2.59125E-09   2.59118E-09
   2.59072E-09   2.59018E-09   2.58966E-09   2.58947E-09   1.82372E-09
   1.82375E-09   1.82386E-09   1.82419E-09   1.82453E-09   1.82482E-09
   1.82486E-09   1.82482E-09   1.82453E-09   1.82419E-09   1.82385E-09
   1.82375E-09   1.47056E-09   1.47059E-09   1.47067E-09   1.47092E-09
   1.47119E-09   1.47141E-09   1.47144E-09   1.47141E-09   1.47119E-09
   1.47092E-09   1.47066E-09   1.47058E-09   1.28669E-09   1.28671E-09
   1.28678E-09   1.28700E-09   1.28722E-09   1.28742E-09   1.28744E-09
   1.28742E-09   1.28722E-09   1.28700E-09   1.28678E-09   1.28671E-09
   1.18371E-09   1.18372E-09   1.18378E-09   1.18398E-09   1.18419E-09
   1.18436E-09   1.18439E-09   1.18436E-09   1.18419E-09   1.18398E-09
   1.18378E-09   1.18372E-09   1.12338E-09   1.12340E-09   1.12346E-09
   1.12364E-09   1.12383E-09   1.12400E-09   1.12402E-09   1.12400E-09
   1.12383E-09   1.12364E-09   1.12345E-09   1.12340E-09   1.08705E-09
   1.08707E-09   1.08712E-09   1.08730E-09   1.08749E-09   1.08765E-09
   1.08767E-09   1.08765E-09   1.08749E-09   1.08730E-09   1.08712E-09
   1.08707E-09   1.06479E-09   1.06481E-09   1.06486E-09   1.06504E-09
   1.06522E-09   1.06537E-09   1.06539E-09   1.06537E-09   1.06522E-09
   1.06504E-09   1.06486E-09   1.06481E-09   1.05100E-09   1.05102E-09
   1.05107E-09   1.05124E-09   1.05142E-09   1.05158E-09   1.05159E-09
   1.05158E-09   1.05142E-09   1.05124E-09   1.05107E-09   1.05102E-09
   1.04240E-09   1.04242E-09   1.04247E-09   1.04264E-09   1.04282E-09
   1.04297E-09   1.04299E-09   1.04297E-09   1.04282E-09   1.04264E-09
   1.04247E-09   1.04242E-09   1.03702E-09   1.03703E-09   1.03708E-09
   1.03725E-09   1.03743E-09   1.03758E-09   1.03760E-09   1.03758E-09
   1.03743E-09   1.03725E-09   1.03708E-09   1.03703E-09   1.03363E-09
   1.03365E-09   1.03370E-09   1.03387E-09   1.03404E-09   1.03420E-09
   1.03421E-09   1.03419E-09   1.03404E-09   1.03387E-09   1.03370E-09
   1.03365E-09   1.03151E-09   1.03152E-09   1.03157E-09   1.03174E-09
   1.03192E-09   1.03207E-09   1.03208E-09   1.03206E-09   1.03192E-09
   1.03174E-09   1.03157E-09   1.03152E-09   1.03017E-09   1.03018E-09
   1.03023E-09   1.03040E-09   1.03057E-09   1.03072E-09   1.03074E-09
   1.03072E-09   1.03057E-09   1.03040E-09   1.03023E-09   1.03018E-09
   1.02932E-09   1.02934E-09   1.02939E-09   1.02956E-09   1.02973E-09
   1.02988E-09   1.02990E-09   1.02988E-09   1.02973E-09   1.02956E-09
   1.02938E-09   1.02933E-09   1.02879E-09   1.02880E-09   1.02885E-09
   1.02902E-09   1.02920E-09   1.02935E-09   1.02936E-09   1.02935E-09
   1.02920E-09   1.02902E-09   1.02885E-09   1.02880E-09   1.02845E-09
