        61        12         6        20
   4.51674E-03   4.29134E-03   4.08440E-03   3.92886E-03   2.61234E-03
   2.65496E-03   2.79187E-03   2.97726E-03   3.18663E-03   3.33606E-03
   3.40095E-03   3.33767E-03   3.19010E-03   2.98093E-03   2.79447E-03
   2.65577E-03   1.56739E-03   1.59885E-03   1.69779E-03   1.83361E-03
   1.99167E-03   2.10551E-03   2.15627E-03   2.10645E-03   1.99351E-03
   1.83552E-03   1.69917E-03   1.59924E-03   8.46368E-04   8.65159E-04
   9.18427E-04   9.90791E-04   1.07513E-03   1.13989E-03   1.17062E-03
   1.14027E-03   1.07577E-03   9.91488E-04   9.18988E-04   8.65309E-04
   4.10276E-04   4.18379E-04   4.39227E-04   4.66871E-04   4.98170E-04
   5.23944E-04   5.36516E-04   5.24035E-04   4.98274E-04   4.67011E-04
   4.39386E-04   4.18422E-04   1.77429E-04   1.79896E-04   1.86034E-04
   1.94254E-04   2.03358E-04   2.11046E-04   2.14633E-04   2.11063E-04
   2.03355E-04   1.94263E-04   1.86068E-04   1.79905E-04   6.45245E-05
   6.50353E-05   6.63589E-05   6.82397E-05   7.02848E-05   7.19758E-05
   7.26781E-05   7.19769E-05   7.02789E-05   6.82361E-05   6.63631E-05
   6.50365E-05   1.69401E-05   1.69924E-05   1.71459E-05   1.73888E-05
   1.76463E-05   1.78454E-05   1.79104E-05   1.78453E-05   1.76455E-05
   1.73882E-05   1.71461E-05   1.69925E-05   3.93464E-06   3.93893E-06
   3.95304E-06   3.97752E-06   4.00303E-06   4.02181E-06   4.02673E-06
   4.02180E-06   4.00299E-06   3.97749E-06   3.95305E-06   3.93894E-06
   9.75299E-07   9.75770E-07   9.77320E-07   9.80057E-07   9.82881E-07
   9.84941E-07   9.85454E-07   9.84940E-07   9.82879E-07   9.80056E-07
   9.77321E-07   9.75770E-07   2.75240E-07   2.75313E-07   2.75529E-07
   2.75914E-07   2.76309E-07   2.76608E-07   2.76685E-07   2.76608E-07
